,name,brand,price,max power,max torque,cooling system,transmission,transmission type,displacement,cylinders,bore,stroke,valves per cylinder,spark plugs,gear shifting pattern,clutch,fuel tank capacity,mileage - arai,mileage - owner reported,top speed,braking system,front brake type,front brake size,rear tyre size,tyre type,radial tyres,rear brake type,rear brake size,wheel type,front wheel size,rear wheel size,front tyre size,front tyre pressure (rider),rear tyre pressure (rider),front tyre pressure (rider & pillion),rear tyre pressure (rider & pillion),kerb weight,overall length,overall width,wheelbase,ground clearance,seat height,overall height,chassis type
36,Hero Xpulse 200T 4V,Hero,133285,18.83,17.3,oil cooled,5 speed manual,chain drive,199.6,1,66.5,57.5,4,1 per cylinder,1 down 4 up,wet multiplate,13,nan,39,115,single channel abs,disc,276,130/70 - r17,tubeless,yes,disc,220,alloy,17,17,100/80 - 17,25,28,25,30,154,2120,807,1393,175,799,1090,diamond type
37,Hero Xtreme 200S,Hero,135257,17.8,16.45,oil cooled,5 speed manual,chain drive,199.6,1,66.5,57.5,2,1 per cylinder,1 down 4 up,wet multiplate,12.8,nan,40,115,single channel abs,disc,276,130/70 - r17,tubeless,yes,disc,220,alloy,17,17,100/80 - 17,25,28,25,30,154.5,2062,778,1338,165,795,1106,diamond type
38,Hero Pleasure + Xtec,Hero,78913,8,8.7,air cooled,automatic,cvt,110.9,1,50,56.5,2,1 per cylinder,automatic,automatic,4.8,nan,50,75,ibs,drum,130,90/100 - 10,tubeless,no,drum,130,alloy,10,10,90/100 - 10,22,29,22,36,104,1769,704,1238,155,765,1161,high rigidity under bone type
39,Hero Maestro Edge 125,Hero,87827,9,10.4,air cooled,automatic,cvt,124.6,1,52.4,57.8,1,1 per cylinder,automatic,automatic,5,nan,45,90,ibs,disc,190,90/100 - 10,tubeless,no,drum,130,alloy,12,10,90/90 - 12,22,29,22,36,112,1843,718,1261,155,775,1188,under bone type
40,Hero Destini 125 Xtec,Hero,83842,9,10.4,air cooled,automatic,cvt,125,1,52.4,57.8,2,1 per cylinder,automatic,automatic,5,nan,45,85,ibs,drum,130,90/100 - 10,tubeless,no,drum,130,alloy,10,10,90/100 - 10,22,29,22,36,114,1809,729,1245,155,778,1154,high rigidity under bone type
41,Hero Maestro Edge 110,Hero,70899,8.04,8.7,air cooled,automatic,cvt,110.9,1,50,56.5,1,1 per cylinder,automatic,automatic,5,nan,40,80,ibs,drum,130,90/100 - 10,tubeless,no,drum,130,alloy,12,10,90/90 - 12,22,29,22,36,112,1843,715,1261,155,775,1188,high rigidity under bone type
42,Pulsar,Bajaj,82712,11.64,10.8,air cooled,5 speed manual,chain drive,124.4,1,56,50.5,2,2 per cylinder,1 down 4 up,wet multiplate,11.5,nan,50,100,cbs,drum,170,100/90 - 17,tubeless,no,drum,130,alloy,17,17,80/100 - 17,25,28,25,32,140,2055,755,1320,165,790,1060,single down tube
43,Pulsar,Bajaj,105884,13.8,13.25,air cooled,5 speed manual,chain drive,149.5,1,56,60.7,2,2 per cylinder,1 down 4 up,wet multiplate,15,nan,47.5,110,single channel abs,disc,260,100/90 - 17,tubeless,no,drum,130,alloy,17,17,80/100 - 17,25,28,25,32,148,2055,765,1320,165,785,1060,double cradle
44,Pulsar,Bajaj,123006,15.68,14.65,oil cooled,5 speed manual,chain drive,164.82,1,58,62.38,2,2 per cylinder,1 down 4 up,wet multiplate,14,nan,45,120,single channel abs,disc,280,130/70 - 17,tubeless,yes,disc,230,alloy,17,17,100/80 - 17,25,28,25,32,152,1989,743,1358,165,795,1050,tubular frame
45,Pulsar,Bajaj,171256,24.1,18.7,liquid cooled,6 speed manual,chain drive,199.5,1,72,49,4,3 per cylinder,1 down 5 up,wet multiplate,13,nan,35,140.8,dual channel abs,disc,300,130/70 - 17,tubeless,yes,disc,230,alloy,17,17,100/80 - 17,25,28,25,32,166,1999,765,1345,157,810,1114,pressed steel perimeter beam section frame
46,Pulsar,Bajaj,105597,11.8,11,air cooled,5 speed manual,chain drive,124.45,1,52,58.6,2,2 per cylinder,1 down 4 up,wet multiplate,12,nan,49.5,103,cbs,disc,240,100/90 - 17,tubeless,no,drum,130,alloy,17,17,80/100 - 17,25,28,25,32,144,2012,810,1353,179,805,1078,single down tube
47,Platina,Bajaj,52734,7.9,8.34,air cooled,4 speed manual,chain drive,102,1,47,58.8,2,1 per cylinder,all 4 down,wet multiplate,11,nan,73.5,90,cbs,drum,130,80/100 - 17,tubeless,no,drum,110,alloy,17,17,80/100 - 17,25,28,25,32,117,2006,713,1255,200,807,1100,tubular single down tube with lower cradle frame
